gemeente,leeftijdsklasse,aantal
Ferrières,Van 15 tot 19 jaar,7.0
Ferrières,Van 20 tot 24 jaar,6.0
Ferrières,Van 25 tot 29 jaar,5.0
Fexhe-le-Haut-Clocher,Van 15 tot 19 jaar,7.0
Fexhe-le-Haut-Clocher,Van 20 tot 24 jaar,7.0
Fexhe-le-Haut-Clocher,Van 25 tot 29 jaar,5.0
Fleurus,Van 15 tot 19 jaar,7.0
Fleurus,Van 20 tot 24 jaar,6.0
Fleurus,Van 25 tot 29 jaar,6.0
Floreffe,Van 15 tot 19 jaar,7.0
Floreffe,Van 20 tot 24 jaar,6.0
Floreffe,Van 25 tot 29 jaar,5.0
Florennes,Van 15 tot 19 jaar,7.0
Florennes,Van 20 tot 24 jaar,6.0
Florennes,Van 25 tot 29 jaar,6.0
Florenville,Van 15 tot 19 jaar,6.0
Florenville,Van 20 tot 24 jaar,7.0
Florenville,Van 25 tot 29 jaar,5.0
Flémalle,Van 15 tot 19 jaar,6.0
Flémalle,Van 20 tot 24 jaar,6.0
Flémalle,Van 25 tot 29 jaar,5.0
Fléron,Van 15 tot 19 jaar,6.0
Fléron,Van 20 tot 24 jaar,6.0
Fléron,Van 25 tot 29 jaar,5.0
Fontaine-l’Evêque,Van 15 tot 19 jaar,6.0
Fontaine-l’Evêque,Van 20 tot 24 jaar,6.0
Fontaine-l’Evêque,Van 25 tot 29 jaar,5.0
Fosses-la-Ville,Van 15 tot 19 jaar,7.0
Fosses-la-Ville,Van 20 tot 24 jaar,6.0
Fosses-la-Ville,Van 25 tot 29 jaar,6.0
Frameries,Van 15 tot 19 jaar,6.0
Frameries,Van 20 tot 24 jaar,6.0
Frameries,Van 25 tot 29 jaar,6.0
Frasnes-lez-Anvaing,Van 15 tot 19 jaar,6.0
Frasnes-lez-Anvaing,Van 20 tot 24 jaar,5.0
Frasnes-lez-Anvaing,Van 25 tot 29 jaar,6.0
Froidchapelle,Van 15 tot 19 jaar,6.0
Froidchapelle,Van 20 tot 24 jaar,6.0
Froidchapelle,Van 25 tot 29 jaar,5.0
Galmaarden,Van 15 tot 19 jaar,6.0
Galmaarden,Van 20 tot 24 jaar,5.0
Galmaarden,Van 25 tot 29 jaar,6.0
Ganshoren,Van 15 tot 19 jaar,5.0
Ganshoren,Van 20 tot 24 jaar,6.0
Ganshoren,Van 25 tot 29 jaar,7.0
Gavere,Van 15 tot 19 jaar,6.0
Gavere,Van 20 tot 24 jaar,5.0
Gavere,Van 25 tot 29 jaar,6.0
Gedinne,Van 15 tot 19 jaar,6.0
Gedinne,Van 20 tot 24 jaar,6.0
Gedinne,Van 25 tot 29 jaar,5.0
Geel,Van 15 tot 19 jaar,5.0
Geel,Van 20 tot 24 jaar,6.0
Geel,Van 25 tot 29 jaar,7.0
Geer,Van 15 tot 19 jaar,6.0
Geer,Van 20 tot 24 jaar,5.0
Geer,Van 25 tot 29 jaar,6.0
Geetbets,Van 15 tot 19 jaar,6.0
Geetbets,Van 20 tot 24 jaar,4.0
Geetbets,Van 25 tot 29 jaar,5.0
Geldenaken,Van 15 tot 19 jaar,7.0
Geldenaken,Van 20 tot 24 jaar,6.0
Geldenaken,Van 25 tot 29 jaar,5.0
Gembloux,Van 15 tot 19 jaar,6.0
Gembloux,Van 20 tot 24 jaar,7.0
Gembloux,Van 25 tot 29 jaar,7.0
Genepiën,Van 15 tot 19 jaar,7.0
Genepiën,Van 20 tot 24 jaar,6.0
Genepiën,Van 25 tot 29 jaar,5.0
Genk,Van 15 tot 19 jaar,7.0
Genk,Van 20 tot 24 jaar,7.0
Genk,Van 25 tot 29 jaar,7.0
Gent,Van 15 tot 19 jaar,5.0
Gent,Van 20 tot 24 jaar,6.0
Gent,Van 25 tot 29 jaar,9.0
Geraardsbergen,Van 15 tot 19 jaar,6.0
Geraardsbergen,Van 20 tot 24 jaar,5.0
Geraardsbergen,Van 25 tot 29 jaar,6.0
Gerpinnes,Van 15 tot 19 jaar,6.0
Gerpinnes,Van 20 tot 24 jaar,6.0
Gerpinnes,Van 25 tot 29 jaar,5.0
Gesves,Van 15 tot 19 jaar,7.0
Gesves,Van 20 tot 24 jaar,6.0
Gesves,Van 25 tot 29 jaar,5.0
Gingelom,Van 15 tot 19 jaar,5.0
